Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P09230	AEP_YARLI	reviewed	Alkaline extracellular protease (AEP) (EC 3.4.21.62)	XPR2 YALI0F31889g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	454
P34229	FAS1_YARLI	reviewed	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	FAS1 YALI0B15059g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	2086
Q6C710	ESA1_YARLI	reviewed	Histone acetyltransferase ESA1 (EC 2.3.1.48) (Protein 2-hydroxyisobutyryltransferase ESA1) (EC 2.3.1.-) (Protein acetyltransferase ESA1) (EC 2.3.1.-) (Protein crotonyltransferase ESA1) (EC 2.3.1.-)	ESA1 YALI0E04675g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	469
Q6C093	UBC2_YARLI	reviewed	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 YALI0F26697g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	151
Q6C1X5	ARO1_YARLI	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	ARO1 YALI0F12639g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1556
Q6CF29	Q6CF29_YARLI	unreviewed	YALI0B10758p	YALI0_B10758g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	316
A0A1H6PWB9	A0A1H6PWB9_YARLL	unreviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	ARO1 B0I71DRAFT_117399 YALI1_F16984g	Yarrowia lipolytica (Candida lipolytica)	1556
Q6CHJ9	Q6CHJ9_YARLI	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	YALI0_A08077g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	327
Q6C793	PRPC_YARLI	reviewed	2-methylcitrate synthase, mitochondrial (Methylcitrate synthase) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase 2) (EC 2.3.3.16)	YALI0E02684g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	465
Q6C7C0	MYO1_YARLI	reviewed	Myosin-1 (Class I unconventional myosin) (Type I myosin)	MYO1 YALI0E02046g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1228
Q6CDL9	ITPA_YARLI	reviewed	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	HAM1 YALI0B22924g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	188
Q6CFT7	ATPB_YARLI	reviewed	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	ATP2 YALI0_B03982g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	509
Q99170	BIP_YARLI	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog) (BiP)	KAR2 YALI0E13706g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	670
Q6C2A3	BUD32_YARLI	reviewed	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1)	BUD32 YALI0F09471g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	248
Q6C2F5	ATG9_YARLI	reviewed	Autophagy-related protein 9	ATG9 YALI0F08349g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	788
Q6C354	PRPD_YARLI	reviewed	2-methylcitrate dehydratase, mitochondrial (EC 4.2.1.79)	PDH1 YALI0F02497g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	520
Q6C4J0	DPOE_YARLI	reviewed	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase II subunit A)	POL2 YALI0E26367g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	2183
O43108	ATC1_YARLI	reviewed	Calcium-transporting ATPase 1 (EC 7.2.2.10) (P-type calcium ATPase)	PMR1 SCA1 YALI0E09471g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	928
Q6CFS5	CBK1_YARLI	reviewed	Serine/threonine-protein kinase CBK1 (EC 2.7.11.1)	CBK1 YALI0B04268g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	588
Q6C7U0	ATG1_YARLI	reviewed	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1)	ATG1 YALI0D25388g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	710
Q6CCH0	NDOR1_YARLI	reviewed	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)	TAH18 YALI0C09460g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	688
P59680	PFKA_YARLI	reviewed	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	PFK1 YALI0D16357g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	953
