Accession
"A0A0A1GK62,""GO:0006081, P, cellular aldehyde metabolic process"""
"A0A0A1GK62,""GO:0016620, F, oxidoreductase activity  acting on the aldehyde or oxo group of donors  NAD or NADP as acceptor"""
"A0A0A1GL30,""GO:0006081, P, cellular aldehyde metabolic process"""
"A0A0A1GL30,""GO:0016620, F, oxidoreductase activity  acting on the aldehyde or oxo group of donors  NAD or NADP as acceptor"""
"A0A0A1GNA6,""GO:0006081, P, cellular aldehyde metabolic process"""
"A0A0A1GNA6,""GO:0016620, F, oxidoreductase activity  acting on the aldehyde or oxo group of donors  NAD or NADP as acceptor"""
"A0A0A1GNS4,""GO:0006081, P, cellular aldehyde metabolic process"""
"A0A0A1GNS4,""GO:0016620, F, oxidoreductase activity  acting on the aldehyde or oxo group of donors  NAD or NADP as acceptor"""
"A0A0A1GQ03,""GO:0006081, P, cellular aldehyde metabolic process"""
"A0A0A1GQ03,""GO:0016620, F, oxidoreductase activity  acting on the aldehyde or oxo group of donors  NAD or NADP as acceptor"""
"A0A0K2S2A7,""GO:0005506, F, iron ion binding"""
"A0A0K2S2A7,""GO:0016712, F, oxidoreductase activity  acting on paired donors  with incorporation or reduction of molecular oxygen  reduced flavin or flavoprotein as one donor  and incorporation of one atom of oxygen"""
"A0A0K2S2A7,""GO:0020037, F, heme binding"""
"A0A0S1TPD7,""GO:0004806, F, triglyceride lipase activity"""
"A0A0S1TPD7,""GO:0016042, P, lipid catabolic process"""
"A0A0S1VVW1,""GO:0004806, F, triglyceride lipase activity"""
"A0A0S1VVW1,""GO:0016042, P, lipid catabolic process"""
"A0A0S1VVW2,""GO:0004806, F, triglyceride lipase activity"""
"A0A0S1VVW2,""GO:0016042, P, lipid catabolic process"""
"A0A0S1VVX5,""GO:0004806, F, triglyceride lipase activity"""
"A0A0S1VVX5,""GO:0016042, P, lipid catabolic process"""
"A0A0S1VVZ7,""GO:0004806, F, triglyceride lipase activity"""
"A0A0S1VVZ7,""GO:0016042, P, lipid catabolic process"""
"A0A1D8N358,""GO:0015031, P, protein transport"""
"A0A1D8N358,""GO:0055085, P, transmembrane transport"""
"A0A1D8N359,""GO:0005524, F, ATP binding"""
"A0A1D8N379,""GO:0008138, F, protein tyrosine/serine/threonine phosphatase activity"""
"A0A1D8N381,""GO:0022857, F, transmembrane transporter activity"""
"A0A1D8N385,""GO:0005524, F, ATP binding"""
"A0A1D8N385,""GO:0051276, P, chromosome organization"""
"A0A1D8N385,""GO:0051301, P, cell division"""
"A0A1D8N390,""GO:0022857, F, transmembrane transporter activity"""
"A0A1D8N3A0,""GO:0022857, F, transmembrane transporter activity"""
"A0A1D8N3A1,""GO:0006629, P, lipid metabolic process"""
"A0A1D8N3A1,""GO:0008081, F, phosphoric diester hydrolase activity"""
"A0A1D8N3A4,""GO:0005244, F, voltage-gated ion channel activity"""
"A0A1D8N3A4,""GO:0006813, P, potassium ion transport"""
"A0A1D8N3A4,""GO:0034765, P, regulation of ion transmembrane transport"""
"A0A1D8N3A5,""GO:0046873, F, metal ion transmembrane transporter activity"""
"A0A1D8N3A7,""GO:0004721, F, phosphoprotein phosphatase activity"""
"A0A1D8N3A9,""GO:0005524, F, ATP binding"""
"A0A1D8N3A9,""GO:0019829, F, ATPase-coupled cation transmembrane transporter activity"""
"A0A1D8N3B3,""GO:0005044, F, scavenger receptor activity"""
"A0A1D8N3B9,""GO:0008270, F, zinc ion binding"""
"A0A1D8N3C7,""GO:0003678, F, DNA helicase activity"""
"A0A1D8N3C7,""GO:0003688, F, DNA replication origin binding"""
"A0A1D8N3C7,""GO:0005524, F, ATP binding"""
"A0A1D8N3C7,""GO:0006270, P, DNA replication initiation"""
"A0A1D8N3C8,""GO:0055114, P, obsolete oxidation-reduction process"""
"A0A1D8N3D0,""GO:0006334, P, nucleosome assembly"""
