Entry	Gene names	Gene ontology IDs	Pathway	Keywords	Protein names
P09230	XPR2 YALI0F31889g	GO:0004252; GO:0005615		Cleavage on pair of basic residues;Direct protein sequencing;Glycoprotein;Hydrolase;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen	Alkaline extracellular protease (AEP) (EC 3.4.21.62)
P34229	FAS1 YALI0B15059g	GO:0004313; GO:0004314; GO:0004317; GO:0004318; GO:0004320; GO:0004321; GO:0005835; GO:0008659; GO:0008693; GO:0016295; GO:0016296; GO:0016631; GO:0042759; GO:0047451		Fatty acid biosynthesis;Fatty acid metabolism;Hydrolase;Lipid biosynthesis;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;NADP;Oxidoreductase;Reference proteome;Transferase	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]
Q6C1X5	ARO1 YALI0F12639g	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0046872	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 2/7. {ECO:0000255|HAMAP-Rule:MF_03143}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 3/7. {ECO:0000255|HAMAP-Rule:MF_03143}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. {ECO:0000255|HAMAP-Rule:MF_03143}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 5/7. {ECO:0000255|HAMAP-Rule:MF_03143}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 6/7. {ECO:0000255|HAMAP-Rule:MF_03143}.	ATP-binding;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Kinase;Lyase;Metal-binding;Multifunctional enzyme;NADP;Nucleotide-binding;Oxidoreductase;Reference proteome;Transferase;Zinc	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]
Q6C793	YALI0E02684g	GO:0004108; GO:0005759; GO:0005975; GO:0006099; GO:0006101; GO:0050440	PATHWAY: Organic acid metabolism; propanoate degradation. {ECO:0000305}.	Mitochondrion;Reference proteome;Transferase	2-methylcitrate synthase, mitochondrial (Methylcitrate synthase) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase 2) (EC 2.3.3.16)
A0A1H6PWB9	ARO1 B0I71DRAFT_117399 YALI1_F16984g YALI2_F00730g	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0046872	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 2/7. {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 3/7. {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. {ECO:0000256|ARBA:ARBA00004871, ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 5/7. {ECO:0000256|ARBA:ARBA00004842, ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.; PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 6/7. {ECO:0000256|ARBA:ARBA00004811, ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.	ATP-binding;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Kinase;Lyase;Metal-binding;Multifunctional enzyme;NADP;Nucleotide-binding;Oxidoreductase;Transferase;Zinc	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]
Q6C354	PDH1 YALI0F02497g	GO:0005739; GO:0019679; GO:0047547; GO:0051537	PATHWAY: Organic acid metabolism; propanoate degradation. {ECO:0000269|Ref.2, ECO:0000269|Ref.3}.	Lyase;Mitochondrion;Reference proteome;Transit peptide	2-methylcitrate dehydratase, mitochondrial (EC 4.2.1.79)
Q6CFT7	ATP2 YALI0_B03982g	GO:0005524; GO:0005753; GO:0042776; GO:0045261; GO:0046933; GO:0046961		3D-structure;ATP synthesis;ATP-binding;CF(1);Hydrogen ion transport;Ion transport;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Reference proteome;Transit peptide;Translocase;Transport	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)
P59680	PFK1 YALI0D16357g	GO:0003872; GO:0005524; GO:0005739; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0048029; GO:0061621; GO:0070095	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. {ECO:0000255|HAMAP-Rule:MF_03184}.	ATP-binding;Allosteric enzyme;Cytoplasm;Glycolysis;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Transferase	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)
Q99170	KAR2 YALI0E13706g	GO:0005524; GO:0005634; GO:0005737; GO:0005788; GO:0006986; GO:0016020; GO:0030433; GO:0030968; GO:0031072; GO:0034620; GO:0034663; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0051787; GO:0140603		ATP-binding;Chaperone;Endoplasmic reticulum;Glycoprotein;Hydrolase;Nucleotide-binding;Reference proteome;Signal;Stress response	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog) (BiP)
Q37695	OLI1 ATP9	GO:0000276; GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0045263		3D-structure;ATP synthesis;CF(0);Direct protein sequencing;Formylation;Hydrogen ion transport;Ion transport;Lipid-binding;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	ATP synthase subunit 9, mitochondrial (ATP synthase subunit c) (Lipid-binding protein)
